gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
OTTHUMG00000020126,3.8611019672131137,0.08562758536585369,1.352950164142073,0.1810183778603938,41,20,0.2930963908999109
OTTHUMG00000164351,3.2259945901639333,0.09162213414634213,1.3529319138893425,0.18102417750080868,41,20,0.2930963908999109
ARMC2-AS1,3.978512950819672,-0.11743028048780602,-1.3529246130289605,0.18102649763784173,41,20,0.2930963908999109
OTTHUMG00000037078,2.919134426229508,-0.07607157317073243,-1.35259305539011,0.1811318870239093,41,20,0.29325166161003285
POU4F1,2.8880078688524584,-0.0631939634146339,-1.3522806613149494,0.18123122774021502,41,20,0.2933971237983942
BPIFA1,3.394871639344262,-0.03995553658536499,-1.3522053760245398,0.18125517451246875,41,20,0.2934205210993582
FPGS,5.242275573770492,-0.03894095121951402,-1.3520499386120728,0.18130462371278058,41,20,0.29348519777097654
PXDC1,6.707023770491805,-0.11002797560975441,-1.3518982135901083,0.18135290178576452,41,20,0.29354797201534866
C7orf60,6.733657868852462,-0.07409139024390043,-1.3516730689803411,0.18142455958417153,41,20,0.29364858143651523
CYP2J2,3.7632096721311474,-0.1698683780487813,-1.3515847893522777,0.18145266261741397,41,20,0.2936786875198313
RAP2A,10.304452622950821,0.09930074390243959,1.3513640983025776,0.1815229321265029,41,20,0.29377703274872075
C1orf140,3.0717657377049186,0.058682353658537245,1.3512081421903417,0.1815726020722133,41,20,0.293842031054184
CCDC79,3.404143770491803,0.04146254878048827,1.3511195326970855,0.18160082761888965,41,20,0.29387232053418083
LRRC59,7.398101967213114,0.09660237804877969,1.3510689583529234,0.1816169389963606,41,20,0.29388300432915465
TAF13,10.744271639344262,-0.12333658536585368,-1.3508661090160605,0.1816815712628562,41,20,0.29397219685228115
GKN2,3.3341614754098354,-0.0545950365853658,-1.350822279411631,0.18169553863693258,41,20,0.29397940534916506
SSR4P1,3.1924521311475407,-0.06873341463414695,-1.3505347039345,0.18178720183499772,41,20,0.29411231665326165
PDE3B,4.641651147540983,-0.15428142682926804,-1.3503588204514865,0.18184328110677683,41,20,0.29417603450262875
CDR2,9.586757704918034,-0.12600412195121713,-1.3503421250477259,0.18184860500778233,41,20,0.29417603450262875
EIF1B-AS1,3.434177213114755,-0.08572625609756024,-1.3503216284471447,0.18185514121251325,41,20,0.29417603450262875
SH2D5,3.6019713114754106,0.03759134146341703,1.3501903472921843,0.18189700997486055,41,20,0.294228362465878
CASP14,2.974573442622951,-0.174686975609756,-1.349832333044697,0.1820112266818901,41,20,0.29438006959539
TACC1,7.8200340983606536,0.11640302439024275,1.3498189801994396,0.1820154876725899,41,20,0.29438006959539
PITPNM3,5.255647213114757,-0.12146407317073304,-1.349806802021537,0.18201937388442993,41,20,0.29438006959539
ACHE,4.089699672131148,-0.02756356097560886,-1.3496518559098998,0.18206882466918306,41,20,0.29444463769759827
OTTHUMG00000132240,3.793949016393443,0.11066071951219536,1.349604217476383,0.18208403044494031,41,20,0.2944538203600482
MMACHC,4.091031967213116,-0.0453163536585377,-1.3490515269479053,0.18226051502882448,41,20,0.29472379745530664
CPO,4.129823606557376,0.12351325609756003,1.348696556317609,0.18237393241521693,41,20,0.29489176902068115
OTTHUMG00000014831,3.5698591803278696,0.07530699999999912,1.3485096013076894,0.18243368834184925,41,20,0.29496816359577155
OTTHUMG00000154963,4.449209344262293,0.165497975609755,1.348489022328041,0.18244026685433337,41,20,0.29496816359577155
OTTHUMG00000019429,3.8334291803278693,0.1691369024390248,1.3482888231737213,0.18250427421456022,41,20,0.29505621440683116
ALOX5,5.39915737704918,0.16577549999999786,1.3482320452555157,0.18252243026624607,41,20,0.29507013168270835
LOC100507435,3.206777868852458,-0.055391914634145945,-1.3479772860684132,0.1826039122940367,41,20,0.2951864164372426
MIR4479,3.012767049180327,0.052447426829268284,1.3479457319011623,0.1826140064828949,41,20,0.2951872938100249
OTTHUMG00000162871,3.0772029508196717,0.044369987804878,1.3477164302245925,0.18268737289827716,41,20,0.29529044243835023
OTTHUMG00000161879,3.804858360655737,0.09323829268292672,1.347675339186145,0.18270052258181155,41,20,0.2952962528314882
SLC35F6,9.232483934426229,-0.1341316585365835,-1.3475731408742588,0.18273323052983362,41,20,0.2953336727081115
OTTHUMG00000164793,5.617827049180329,0.4667720731707341,1.347459365793144,0.1827696487834097,41,20,0.2953770849579709
STEAP2-AS1,2.972892786885247,-0.08089375609756067,-1.3470851610046144,0.1828894668320166,41,20,0.2955492710361354
NEURL2,5.178485573770493,-0.09795696341463334,-1.347066891355665,0.18289531818689822,41,20,0.2955492710361354
LINC00315,2.7860677049180333,0.06644418292683074,1.3469220110199625,0.18294172511155493,41,20,0.29560880553030455
TRAF6,8.288020983606557,0.06218426829268253,1.3466254177537835,0.18303675541010125,41,20,0.2957468984131949
OR2L5,3.12263180327869,-0.08502834146341431,-1.3463195638567136,0.1831347921204578,41,20,0.29588716632606993
PANX2,5.033476065573771,-0.059301573170730926,-1.3462948518144766,0.18314271492157874,41,20,0.29588716632606993
SNORD115-1,3.1884368852459017,-0.16091221951219392,-1.3460636288406942,0.1832168587418522,41,20,0.29599148036680306
DNMBP,6.494332295081966,0.08172853658536461,1.3460259206988345,0.18322895237279369,41,20,0.2959955450881391
NUP153,9.795712131147537,-0.04329195121951379,-1.3459227832700362,0.18326203336438435,41,20,0.29603351145339213
FAM71C,3.211993278688525,0.10435951219512196,1.3458385453935473,0.18328905575023655,41,20,0.2960616875534971
TMPRSS4-AS1,4.065232622950819,0.07831004878048642,1.3457304655293565,0.18332373075706668,41,20,0.29610222112716345
ADAP1,4.005024262295081,0.03518028048780364,1.3455398628499777,0.1833848934967016,41,20,0.29618553088662464
LGALS17A,3.4995114754098355,0.08354913414634257,1.3453822587483257,0.18343547897765006,41,20,0.2962517494671967
TPTEP1,6.478227704918034,0.12071632926829334,1.3452019025838524,0.18349338007974292,41,20,0.2963297753756835
RPS27L,6.796671967213115,-0.09814235365853552,-1.3450630154987673,0.18353797750282247,41,20,0.2963761678854763
MIR4772,3.0725260655737703,-0.09254359756097585,-1.3450527097063554,0.18354128707847053,41,20,0.2963761678854763
