gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
NKD1,4.115137940734391,1.3498640022553245,6.272838016095974,3.5374835852623285e-05,6,6,0.002695936848544045
NAGS,4.505635331077154,-1.379600199265925,-6.270686550595932,3.5491914448860346e-05,6,6,0.002695936848544045
HLA-DOA,3.2277806210166324,1.5251988013312157,6.257887285599561,3.619695468113412e-05,6,6,0.0027355343212828666
DENND3,6.7487284867202115,0.6248983483739883,6.248104479822203,3.674582123055627e-05,6,6,0.002762988820608696
ACTN1,7.3334119466796395,1.0573460310962082,6.233989802806358,3.7553298376811754e-05,6,6,0.002809515106703384
TCF19,2.7211777676947295,1.083682852549451,6.222260581150848,3.823858749220314e-05,6,6,0.002822883521234079
NFKB2,6.091807156221376,0.9344704112129749,6.22204463622792,3.825132758056801e-05,6,6,0.002822883521234079
ISG20,2.3136859519458883,1.2249610668897684,6.219701627644426,3.838984692201708e-05,6,6,0.002822883521234079
SLC16A10,5.133332153238208,-1.3318031000666544,-6.214910928600933,3.867472878605744e-05,6,6,0.002822883521234079
COL1A1,8.686105407088974,1.52979354532376,6.213450254977479,3.876203284022603e-05,6,6,0.002822883521234079
GPR155,6.673935985396848,-1.0433998427617945,-6.2101204148447,3.89618367037915e-05,6,6,0.002822883521234079
CSF1,4.974386184776091,1.1299927615853411,6.208503634171595,3.905924270380308e-05,6,6,0.002822883521234079
SH2D3C,5.150160474760763,0.7114858383786951,6.201421240419811,3.948898043635692e-05,6,6,0.00283006477318615
GAD1,5.33269492393928,-2.2454391151216395,-6.200605654776191,3.9538787803782855e-05,6,6,0.00283006477318615
ARHGAP30,5.453705971186959,1.7473452701404408,6.181234131386464,4.0741538740223075e-05,6,6,0.002902201094566704
UCP2,5.153916017711864,0.9807740891943961,6.172145762497232,4.13191023598658e-05,6,6,0.002917200259269462
WFDC2,4.957585948582353,1.642511503084699,6.171757234436523,4.1343985404745866e-05,6,6,0.002917200259269462
TMC6,6.122878403468099,1.023943752843552,6.165354096609576,4.175636108745011e-05,6,6,0.0029323995465564026
CYP3A7,1.0991837443770713,-1.6348592464858231,-6.159449843141348,4.2140463014732396e-05,6,6,0.002945479874945239
ABCA7,6.068464507883406,0.9204212773806484,6.153173343944096,4.255288130076791e-05,6,6,0.002960407928999218
MYADM,4.238323459195629,1.3110339254666203,6.146079973387225,4.30241172501321e-05,6,6,0.002979270035441706
TMEM132A,3.8805757038783124,1.2694894617224945,6.13723289894185,4.361960274091702e-05,6,6,0.003006521507438762
SERPINA10,1.0553179942472866,-1.4399175762681804,-6.131571835669104,4.4005208868479956e-05,6,6,0.0030191223485434545
RASSF1,3.8041692648874967,1.092288064393618,6.1204984009140455,4.4769938558521156e-05,6,6,0.0030574992901801056
CD4,4.48888731226383,1.1397365083833,6.115070318494863,4.514992063233221e-05,6,6,0.0030693466234489888
PLTP,6.289678302881004,0.8363851333150842,6.112150294543571,4.535574000260462e-05,6,6,0.0030693466234489888
ABCA5,7.712971254359118,-0.9670202477699403,-6.094419275869121,4.6627004459877894e-05,6,6,0.003134866618401707
RELB,4.591472993292234,1.3180219984849386,6.092798746330929,4.6745055701583754e-05,6,6,0.003134866618401707
ITPRIPL2,4.451189981292968,1.4085924082521202,6.082097158107934,4.753261192441056e-05,6,6,0.0031733880104512307
CAPN13,5.749854566344855,-1.1852109201043248,-6.078650395844815,4.778924357412164e-05,6,6,0.0031762779389800135
CSMD3,2.989709494705242,-2.0803766297970023,-6.0683492952643725,4.856498598439258e-05,6,6,0.0032134911614917186
AOAH,5.176932710743255,1.395307504609991,6.04923159329947,5.004015676645403e-05,6,6,0.0032964506811458743
MAP1S,5.738390981976088,0.6534714758538023,6.044728254612118,5.03944890536111e-05,6,6,0.0033051680750227404
CTSS,4.899051941656613,1.2386003101531076,6.039431880620996,5.081461428709759e-05,6,6,0.0033181051645013544
PROSER2,3.3419536960988796,1.316976893222146,6.03244984424853,5.1374114352792236e-05,6,6,0.003339990456263628
PREX1,7.167473950604623,0.6410176631406532,6.025978912008459,5.189847056401266e-05,6,6,0.003346754153322079
PRF1,2.6481330195465964,1.0801926331517095,6.025619730513496,5.192774109466686e-05,6,6,0.003346754153322079
GEM,4.215359815017429,1.0165302716176208,6.020114834376482,5.2378536330548026e-05,6,6,0.0033612571072810303
CD276,5.014019711548286,0.6824892281130515,6.015168762180866,5.278709604506537e-05,6,6,0.0033729368494374813
CLEC10A,3.39947785014458,2.0039478621134283,6.011782645672753,5.306873927816245e-05,6,6,0.0033764418392020624
R3HDM4,4.165490520477403,0.7657778735361185,5.993915366379908,5.4581382635707134e-05,6,6,0.003457904785874076
PRKCB,4.188650649784753,1.9867243060312498,5.984635912469192,5.538488624168872e-05,6,6,0.0034628039057324903
LAPTM5,4.974563121716331,1.3735475221191722,5.982236105496485,5.5594711050443944e-05,6,6,0.0034628039057324903
PITPNM1,6.0392051013973775,0.7956814786161122,5.979524036166451,5.583284909220746e-05,6,6,0.0034628039057324903
AEBP1,8.113178122119866,1.2221598330834622,5.97559895901093,5.6179406975792387e-05,6,6,0.0034628039057324903
