gene,g,var_g,logFC,n_dn,n_ctrl
TYW3,-1.361598353300468,0.3767211724245806,-0.8942657076517264,6,6
TYW5,-1.1243314852902164,0.3472297330797985,-0.5685001921253408,6,6
TZMP1,-0.6717873444310271,0.30658858044593784,-0.5445021418041551,6,6
U2AF1L4,1.7198232580044541,0.4319132705777061,0.7814271254822587,6,6
U2AF2,1.7741273893663105,0.44140006832403933,0.6303334861499543,6,6
U2SURP,-1.1180031785300448,0.34652022399921745,-0.1489813074510007,6,6
UACA,-0.3931931750682316,0.29175371228506514,-0.056914751622262116,6,6
UAP1,-2.581407531459819,0.617206910812927,-0.5707835543184361,6,6
UAP1L1,-2.1747566999272587,0.5205020038329784,-0.4523219754090846,6,6
UBA1,0.9275442731440837,0.3270405875711726,0.24739008562107934,6,6
UBA2,-1.0951081094167763,0.3439867572045726,-0.3639562995452117,6,6
UBA3,-0.6971838393385976,0.3083269339307987,-0.31217779596223494,6,6
UBA5,-1.824139337080257,0.4503978846932332,-0.5413841892263491,6,6
UBA52,0.9127364091346429,0.3256780562670534,0.4596303211512254,6,6
UBA6,-1.2151371378466285,0.3578515818277581,-0.41856701621058967,6,6
UBA7,3.8731133621378615,1.0340740244375959,0.618417652105359,6,6
UBAC1,-0.1346131103116394,0.2849297031124419,-0.0723566354502454,6,6
UBAC2,-1.0506392576103027,0.3392158111206497,-0.3475600513954902,6,6
UBALD1,0.34941287741683175,0.2901281365842888,0.23922943238048022,6,6
UBALD2,-0.5890928776927808,0.30137518956647136,-0.2253129584719913,6,6
UBAP1,-0.0855579844503396,0.28438967707421353,-0.016545812870901955,6,6
UBAP1L,1.5776203521451444,0.4084679674141818,0.8801112614271451,6,6
UBAP2,-0.7431439175987454,0.31163681275225386,-0.16731374779911068,6,6
UBAP2L,0.2545148147604163,0.28726255818567975,0.0167770902818134,6,6
UBASH3A,3.7115835449079797,0.9728162891806377,1.9460035081023745,6,6
UBASH3B,1.2200660893599355,0.3584517317593556,0.6600876439781831,6,6
UBB,1.0619761089659976,0.3404133314397813,0.5409481793182191,6,6
UBC,1.0018114994344385,0.33420498265900717,0.5286127394676647,6,6
UBE2A,-0.5075236320870576,0.29690268049539525,-0.25970875733267285,6,6
UBE2B,-2.499893539805619,0.5964970541571468,-0.5469321811316457,6,6
UBE2D1,-1.4700769542985048,0.39207998121703175,-0.631756549472406,6,6
UBE2D2,-0.22291992684855733,0.2865083333283616,-0.06721412771294588,6,6
UBE2D3,0.26465947248603744,0.2875259004578827,0.07681711471369201,6,6
UBE2D4,-1.5576900955688828,0.4053435903307231,-0.28775026335458875,6,6
UBE2E1,-0.8993003952658565,0.32446072868531955,-0.2513833532019065,6,6
UBE2E2,-1.4414951254719677,0.38791907847702545,-0.2576732064472145,6,6
UBE2E3,-1.1804957559045426,0.3537021801244852,-0.2647583641042628,6,6
UBE2F,0.7106583847588043,0.3092754356304529,0.3427692751931266,6,6
UBE2G1,-1.5613326588908591,0.4059116522250133,-0.5079061561083185,6,6
UBE2G2,1.075669843148968,0.3418769492120596,0.33929136059780873,6,6
UBE2H,0.9791274414443709,0.3319581959685233,0.233752858408252,6,6
UBE2I,1.4890829351626482,0.39489206802868365,0.43473285441314946,6,6
UBE2J1,0.5474899968366675,0.299010933470864,0.07750098821015072,6,6
UBE2J2,0.19840852555756236,0.28599196578974956,0.052951178215263184,6,6
UBE2K,0.04156517871978816,0.2841100518431537,0.009400128265391494,6,6
UBE2L3,0.5195499583810329,0.29752027660173996,0.1839195246044656,6,6
UBE2L6,1.9237497899524805,0.46906433135616393,0.46219301858773143,6,6
UBE2M,-0.2525470934780892,0.2872126703602648,-0.10204945379540131,6,6
UBE2N,-1.0181701603713142,0.33585719241258066,-0.3207312562382132,6,6
UBE2O,0.7674732958234352,0.3134744316291576,0.12146574471549787,6,6
UBE2Q1,-0.245446456171866,0.2870358667814197,-0.0715166712657016,6,6
UBE2Q2,-0.31169873937709985,0.28888147384551693,-0.09797647904130713,6,6
UBE2QL1,-0.5984302920018839,0.3019296093583263,-0.23962793562801643,6,6
UBE2R2,-1.0386707039674081,0.33796551020306087,-0.1244753259466318,6,6
UBE2S,1.2935495428870254,0.36768718963421493,0.9421364090162053,6,6
UBE2T,-0.6406194129751488,0.3045433302530845,-0.576209605199764,6,6
UBE2U,-0.4097765501866411,0.2924195096931965,-0.5809623837551334,6,6
UBE2V1,-0.48338447356239894,0.2957066961031132,-0.26446717145120147,6,6
UBE2V2,0.41856087306788153,0.29278332886222064,0.12674498877793638,6,6
UBE2W,-0.2637047666600822,0.28750067883701574,-0.07251821376908252,6,6
UBE2Z,1.8928659187831198,0.4631707379635865,0.5262100647812815,6,6
UBE3A,-1.8454457958683117,0.4543071779134546,-0.23266179303509205,6,6
UBE3B,-1.044153424961378,0.3385364873819821,-0.24337181724697032,6,6
UBE3C,-0.14395416707766875,0.2850598087500046,-0.014662927769485634,6,6
UBE3D,-1.2719134658100437,0.36491186186449914,-0.70089805355859,6,6
UBE4A,-0.49190880883773813,0.29612238244966144,-0.07998677796179088,6,6
UBE4B,-1.1017429721240546,0.34471554747029054,-0.11016819420161994,6,6
UBFD1,0.4170799607983361,0.2927214533240304,0.07028131285390415,6,6
UBIAD1,-0.7672299534660005,0.31345575871382536,-0.424882595126844,6,6
UBL3,-1.486953953772487,0.3945752716710349,-0.5031902244222071,6,6
UBL4A,-0.005560052367795262,0.2840252143481699,-0.0035509271015192745,6,6
UBL5,1.024632253178561,0.336517231351742,0.29597564047185365,6,6
UBL7,-0.7412679839058818,0.3114975798372478,-0.29291743789073355,6,6
UBLCP1,-0.8726831279975651,0.322102460733634,-0.8457946967119181,6,6
UBN1,-0.8416210483137552,0.3194399680872905,-0.15802663179547238,6,6
UBN2,-0.6505232981615392,0.30518269671160164,-0.06477426476642734,6,6
UBOX5,-0.5644433562607951,0.2999534837604008,-0.17317842113352366,6,6
UBP1,1.0566948834740648,0.33985387247706667,0.10286796221421035,6,6
UBQLN1,-0.1086085398744854,0.2846134593857367,-0.020114433207979232,6,6
UBQLN2,-1.166327205700783,0.3520396261769431,-0.32524961411305586,6,6
UBQLN3,-0.099386166952335,0.28451754914812716,-0.053279757137165706,6,6
UBQLN4,1.6017421751586574,0.41230256842315266,0.2778526377168964,6,6
UBQLNL,-0.4247837887601217,0.29304573199872347,-0.4268580371636954,6,6
UBR1,-1.2076027727276373,0.3569388914740272,-0.48987372573887367,6,6
UBR2,-1.2479357498183947,0.36189085042279323,-0.3233577112102317,6,6
UBR3,-2.0839927594687584,0.5011749597149638,-0.4947993231093415,6,6
UBR4,1.0831716981267745,0.34268671502019526,0.19900117445468624,6,6
UBR5,-0.7135851156051383,0.3094838544997132,-0.1069666099116624,6,6
UBR7,-0.8756848065042055,0.3223648626561687,-0.4402597547886602,6,6
UBTD1,0.0414660801917113,0.28410964042937653,0.03640062506427322,6,6
UBTD2,-0.4410143708142269,0.2937483524022867,-0.3458769842707934,6,6
UBTF,2.048968652835907,0.4939372956542629,0.2516600989516906,6,6
UBXN1,1.086789197243776,0.34307920660134184,0.18916569267384098,6,6
UBXN10,0.8372610084774305,0.3190739684548855,0.19227040198582301,6,6
UBXN11,1.3907882324569303,0.3807382640160869,0.3887848755669925,6,6
UBXN2A,-0.33697520193916136,0.2897012829751502,-0.07446151500582943,6,6
UBXN2B,-0.9960392757671805,0.33362838058259375,-0.26935016125075695,6,6
