gene,k,pooled_g,se,z,P.Value,tau2,Q,I2,mean_logFC,n_up,n_down,dir_consistent,studies,adj.P.Val,g_GSE142025,g_GSE162830,g_GSE166239,stouffer_z,stouffer_p,is_IEG
IL1RAP,3,-1.157257701779547,0.2621939158262601,-4.413747352346615,1.0159651656578683e-05,0.0,0.18087721207291346,0.0,-1.4784535406619608,0,3,True,"GSE142025,GSE162830,GSE166239",0.000915696189891625,-1.262661962429657,-1.1474423078323328,-0.9639660267477772,-4.513055665531894,6.3900241900457835e-06,False
ADAMTS19,3,-1.1571261672896238,0.26220929984552005,-4.412986755127838,1.0195423601869563e-05,0.0,0.8974577924791942,0.0,-1.8192236673282238,0,3,True,"GSE142025,GSE162830,GSE166239",0.000915696189891625,-1.4497082800364016,-1.0313461729554323,-0.8412208175281463,-4.6259409642433456,3.729015128562807e-06,False
LRRC39,3,-1.1759106163298076,0.2667304364011705,-4.408610551520274,1.0403591122669465e-05,0.0,1.9055054144505146,0.0,-1.862928116538935,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009278342263455354,-1.2024311587048044,-0.8622123144777054,-1.973116654632955,-4.662348243088056,3.126216017189205e-06,False
ZRANB1,3,-1.1551931052005462,0.26207248124067606,-4.407914557574882,1.0437070039240412e-05,0.0,0.7468309752929121,0.0,-1.169641190293781,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009278342263455354,-1.3738158000057767,-1.1414100130876246,-0.7736726066104554,-4.155245364122125,3.2493864759488994e-05,False
ATG2B,3,-1.165854153757417,0.2648779745204855,-4.401476400097021,1.0751676412345251e-05,0.0,0.6926985437760975,0.0,-1.4468968181589894,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009490137459055193,-0.9517320230957632,-1.2477934871888043,-1.5476942193568295,-4.2453227266765765,2.1827902378726473e-05,False
TUBG2,3,-1.1638939828300807,0.2647348233682105,-4.396452147933937,1.1003460464486481e-05,0.0,1.8097569021786635,0.0,-0.9217462199536924,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009490137459055193,-1.4376811092742547,-0.7449318849077692,-1.5263842893363144,-4.430624823960983,9.396043924273033e-06,False
DCLK2,3,-1.1583978188967516,0.2634955126788045,-4.3962715232604905,1.101261625486563e-05,0.0,0.3179927834315197,0.0,-1.1520670558211992,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009490137459055193,-1.1802594276581784,-1.0100345053788504,-1.4298469194309271,-4.3692484202729815,1.2467487722235387e-05,False
ZNF334,3,-1.1604643211766112,0.26399953194122777,-4.395705979641497,1.1041330491368813e-05,0.0,1.81736536268962,0.0,-1.1400521805448924,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009490137459055193,-1.5168719245845406,-0.7461786959111991,-1.3228202401011833,-4.50739028465566,6.562984743770073e-06,False
BBS2,3,-1.1558265332042377,0.26307174593165195,-4.3935791322285525,1.1149957693392047e-05,0.0,0.4051416699569931,0.0,-1.1327442378064263,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009490137459055193,-1.2723937546931376,-0.9506206544884312,-1.3307206232867166,-4.420194025111208,9.861232109657e-06,False
MCCC1,3,-1.1594474607636216,0.2639140784194406,-4.393276280323716,1.1165508374117966e-05,0.0,1.1124308774438487,0.0,-0.9052399874155079,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009490137459055193,-1.3637421478674037,-0.826655778611343,-1.4489486050178866,-4.453984899843789,8.429103116787487e-06,False
AK4,3,-1.1553211919700601,0.263145855376701,-4.390421389370484,1.1313120929087712e-05,0.0,1.6830865441245642,0.0,-1.2684484396704516,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009568923255748752,-1.5574983155118305,-0.7956799841770167,-1.1053017124716658,-4.615113107076875,3.928812907145301e-06,False
CYP4A11,3,-1.1485110877595035,0.2619292614498119,-4.384813981463346,1.1608493409089917e-05,0.0,1.0408920584708339,0.0,-1.830505113368936,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009766988008029268,-1.430619675102307,-1.094559480477285,-0.7308591089747788,-4.606512505782439,4.094784458644121e-06,False
FZD5,3,-1.1480658209203685,0.26188460843828576,-4.383861379890583,1.1659397989382966e-05,0.0,0.8647873484994099,0.0,-1.280872289306414,0,3,True,"GSE142025,GSE162830,GSE166239",0.0009766988008029268,-1.4255848650336995,-1.0498884416755083,-0.809494719183282,-4.554172369028207,5.259222063365889e-06,False
PROZ,3,-1.1550907553624374,0.26389042814024277,-4.377160488551605,1.2023544309657244e-05,0.0,1.4034930586911039,0.0,-1.793255498633312,0,3,True,"GSE142025,GSE162830,GSE166239",0.0010023839045524775,-1.412529156115278,-0.7818099151343776,-1.4266178966681642,-4.581379026340098,4.619197823299943e-06,False
THAP6,3,-1.3052663634761252,0.29827159689619004,-4.376100094875638,1.208215481381317e-05,0.04215977003899492,2.356937384072456,15.144118230910248,-0.8209013558968529,0,3,True,"GSE142025,GSE162830,GSE166239",0.0010024736451232413,-1.5133957596652832,-0.8397982948958435,-1.9362427999031084,-4.66173106753046,3.135607572358174e-06,False
MOCS1,3,-1.1603270047624241,0.2653744853909274,-4.37241358397032,1.2288046139012819e-05,0.0,1.3463186714682518,0.0,-1.1975035561707905,0,3,True,"GSE142025,GSE162830,GSE166239",0.0010147247200291913,-1.175442739901785,-0.8944258665044766,-1.8072431364240524,-4.529239202419376,5.9196451816368234e-06,False
NT5C2,3,-1.146352759514956,0.26269570100686046,-4.363804794373161,1.2781964291074697e-05,0.0,0.07050711708548138,0.0,-1.11732258902237,0,3,True,"GSE142025,GSE162830,GSE166239",0.0010470624696342044,-1.1235224541108622,-1.101410419822919,-1.2898731481644452,-3.9077307824448675,9.31670349325535e-05,False
SLTM,3,-1.2043479320330754,0.276255973916571,-4.359536248062412,1.3033836373190915e-05,0.01829963407343694,2.1698071377064108,7.825909259654523,-1.0133938170988317,0,3,True,"GSE142025,GSE162830,GSE166239",0.00106048984425788,-1.688185803785023,-1.0079439360260036,-0.7450203103056444,-4.527249752692061,5.97563005183769e-06,False
